,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
MPD-23-003,655,700.48,DIO,DIO,INT,FMG,POR,,,"Light grey to light green, hbl diorite porphyry?The interval started with an inner propylitic alteration (chl>carb>act) with 5% wht massive calcite veins/stockworks and 1% fg py, 0.1% patches ccp disseminations until 667.8m. Chl+carb is pervasive while dark green actinolite? Has a mottled texture and is more prominent near 667.8m. This transitioned to potassic alteration with alt assemblage of kspar+bt+-act with associated mt+qtz+ah+py,ccp. Observed that some of the biotite were replaced by mt. ~5% finely disseminated py+-ccp and late calcite centerline veins on possibly gypsum, more prominent from 668-670m. (~1-3cm) 2% wht-purple, massive to comb qtz+ah+-cal,ser vein (60dgtca&parallel to core axis) with 0.2% patches of ccp on selvages and also as desseminations from 671-674m.  Retrograde to mod phyllic alteration starts from 674m to 700.48. Alt asssemblage of qtz>ser>chl+mt+-py,siderite?(buff brown, high fe, and reacts with acid). 0.2% of fg ccp+-bn disseminations including stringers and on selvages. 0.5% wht massive qz>cal(+-bt on selvages) vein/veinlets cut by wht massive late calcite veins/veinets, including 0.5% wht massive gypsum+cal veinlets (40dtca) from 674 to 695m. From 695m to 699.48, observed stronger ser>qtz>bt alteration and higher ~0.5% bn>ccp veins/disseminations content - bn here also observed on the interstices of some biotite.",655,667.8,PRO,4,Chl+act,655,667.8,1,0.1,0
,,,,,,,,,,,667.8,674,POT,3,Kspar+bt,667.8,671,5,0.01,0
,,,,,,,,,,,674,700.48,PHY,4,Qtz+ser+py,671,674,0,0.1,0
MPD-23-003,700.48,706.47,AND,AND,FLT,FMG,POR,,,"Possible contact between hbl diorite and andesite. Green to greyish, fine to medium grained, weakly phyllic overprinted by prop alt, faulted andesite porphyry. Some parts have inclusions of hbl diorite. Alt assemblage chl>carb>ser>clay+-ep,act - ep and act are sparse and locally observed on fractures. Chl>carb>ser is pervasive.  1% light grey, massive qtz-anhydrite+-cal veins (dtca 40deg and some are parallel to the core axis) observed within the interval (possible paragenesis is qtz altered to anhydrite with late calcite cutting through the weak zones) 1% wht massive calcite veinlets some noted to be centerveins on gypsum. 0.5% wht massive gypsum veins. Trace fg ccp disseminates noted.",700.48,706.47,PRO,3,Chl+ep+act,700.48,706.47,0.05,0.1,0
MPD-23-003,706.47,716.03,AND,AND,VCB,FMG,PSBX,XEN,,"green to grey, mottled, propylitic altered, brecciated(?) andesite. Alt assemblage chl>carb>epi>hem+-mt. The rock looks brecciated possibly just stockworking of fg dark iron sulfides, with hematitic ""clasts"". Start of possibly late Epidote veins with what seems to have a mottled texture as well. Interval is intercalated with phyllic altered hbl diorite. mt with ccp (not sure if ccp is actually replacing mt or its just on the factures), also observed patches of ccp on fractures on or near veins noted within the interval, 1% wht mas cal vl",706.47,716.03,PRO,3,Chl+ep,706.47,719,0,0.1,0
MPD-23-003,716.03,806.2,DIO,DIO,INT,FG,,,,"green to grey, fine grained, inner propylitic to phyllic altered diorite. Alteration assemblage of ser+-qtz>chl+carb>hem+mt>ep. The interval started with phyllic ser>qtz+mt+-fg py alteration until 744m with an occasional epidote+hem stringers. Mt noted to be replacing dark minerals some occurs with ccp. Bn and ccp noted to be in the interstices of magnetite and also occurred possibly as stringers but destroyed or cut by late calcite veins as noted from 719 to 720.72m. Included in this interval are wht light grey>purple massive-comb qtz>ah+cal veins/veinlets observed.   This is followed by inner propylitic chl>carb+-hem alteration with possibly late epidote stringers (mottled texture) since it has been observed to have cut through the late calcite vein/veinlets, mt (some occurs with ccp) replacement on some dark minerals is still observed, occasional ccp patches noted as well until 784.10m  (not sure if its just in the spaces between the mineral or its replacing the magnetite). Epidote stringers slowly disappears until 771m. Inlcuded in this interval are wht calcite veins with occasional gypsum veins.  Alteration slowly transitions to weakly argillic near contacts of dio and granodio dyke from ~800m. Possible paragenesis primary prop alt overprinted by phyllic and overprinted again with late epidote.",716.03,744,PHY,3,Ser>qtz>py,719,720.72,0,0,0.3
,,,,,,,,,,,744,800,PRO,4,Chl+ep,720.72,758,0,0.1,0
,,,,,,,,,,,800,806.2,ARG,4,Clay,758,782,0,0,0
,,,,,,,,,,,,,,,,782,784.1,0,0.2,0
,,,,,,,,,,,,,,,,784.1,797,0,0,0
,,,,,,,,,,,,,,,,797,824.1,0,0,0
MPD-23-003,806.2,824.1,GND,GND,DYK,MG,POR,,,"post mineral dyke. reddish brown, medium grained, hem>clay>carb>mt granodiorite (feldspar porphyry). Upper contact 60dtca. The same dyke previously logged within this hole. The plagioclase is altered to hem+clay while some dark minerals are altered to mt. groundmass reacts to acid. 1% wht massive calcite as veins  and on fractures noted. Healed fault.",806.2,824.1,ARG,3,Clay,,,,,
MPD-23-003,824.1,830.3,DIO,DIO,INT,FG,,,,"green to grey, fine grained, prop to weakly phyl alt diorite. Alt assemblage of chl>ser>sil+-kspar. Chl is pervasive possibly the original alteration while weak ser+sil overprint is observed. Kspar alt is noted but localized migrating near veins and fractures. Mt stringers with ccp centerline noted within the interval. Ccp blebs also occurs. Gypsum stringers noted, wht+gry+-purple qtz+ah veins also observed and late calcite veins cutting through gypsum and qtz veins.",824.1,830.3,PRO,3,Chl,824.1,830.3,0,0.1,0
MPD-23-003,830.3,833.88,GND,GND,DYK,MG,POR,,,"post mineral hem>clay>mt alt granodiorite, similar to previous logged granodio.",830.3,833.88,ARG,3,Clay,830.3,833.88,0,0,0
MPD-23-003,833.88,842.74,DIO,DIO,INT,FG,APHAN,,,"grey to green, fine grained, prop alt dio. Alt assemblage chl>carb>epi>weak ser. Dark minerals generally altered to chl, carb is pevasive, epi+-ser on fractures. The interval looks sheared, fractured with calcite fills. 5% fg py disseminations and as stringers. Trace ccp.",833.88,842.74,PRO,3,Chl+ep,833.88,842.74,5,0.1,0
MPD-23-003,842.74,875.4,DIO,DIO,INT,FG,SER,,,"green to light gry, fine grained, prop alt diorite. Chl>carb+-ser,kspar+bt, weakly to mod magnetic on some parts. Serecite localized on fractures and veins. Within the intervals 843m to 866m observed a wht-light gry-purple ah>qtz+cal veins/stockworks with 0.2% ccp on fractures and as blebs including a wht-gry, qz>ah+-cal monomictic, matrix supported, hbx?/stockworks with fg ccp>py from 845.2-845.8m. 5% fg py disseminates and as stringers also noted within the entire interval. Some phenos noted to be altered to chlorite, there are sparse kspar+secondary biotite noted near qtz veins, very localized and weak.2% wht massive cal veins. 1% wht gypsum veins observed as well.",842.74,875.4,PRO,3,Chl,842.74,866,5,0.2,0
,,,,,,,,,,,,,,,,866,875.4,5,0,0
MPD-23-003,875.4,895.53,GND,GND,DYK,MCG,POR,SER,,"post-mineral. reddish brown, med to coarse grained, hem>clay>mt granodiorite. Seriate phyric-porphyritic in texture. (feldspar porphyry). Qtz and plag mainly altered to hem+clay, while the groundmass reacts to acid. Biotite (not sure if secondary) is observed to be altered to chl+magnetite, it has been noted that the mt is usually found within the chl altered biotite. Late calcite veins noted within the interval. The same granodiorite as the previous logged lith.",875.4,895.53,ARG,3,Clay,875.4,895.53,0,0,0
MPD-23-003,895.53,929,DIO,DIO,INT,FMG,POR,,,"green to grey, fine to med grained, porphyritic diorite. Interval starts with plag>hbl diorite and transitioned to hbl+augite diorite. Alteration assemblage also slowly transitioned from chl>ser with kspar+-bt,mt to chl>carb+-epi,ser,mt.   From 895.53 to 900.58m, observed on some parts mt>bt>kspar alteration possibly retrograded to ser>chl>weak sil alteration. Microfractures/veinlets noted from  895.53m to 897.63m filled with gypsum>cal veinlets with serecite halo and py+ccp+-mt on the selvages. Also observed kspar+act+ser veinlet with py+ccp on centerline. From 900.2 to 900.58m, banded qtz-cal veinlets and wht-light grey qtz-cal vein (hbx?) with kspar on selvages and ccp on fractures within the vein. (notes: Possible paragenesis would be kspar+act syn or pre qtz veins with mineralization, overprinted by gypsum veins only mobilizing mineralization, with late calcite veins)  from 900.58m to 929m, chl>carb+-epi,ser,mt altered plag+hbl diorite. Observed within this interval are wht massive qtz-ah-cal veinlets with ccp>py on selvages. Its possible that qtz is syn mineralization and its slowly being altered to gypsum with calcite noted on the centerline (as observed at 905.5m, dtca parallel to core axis) with py+ccp at the edges of said vein. The veins are ~1mm to 2cm in width, that occurs 1 to 2 times in a meter. Some ccp+py stringers noted as well. Obserevd a 0.4m of wht massive monomictic, matrix supported (40:50 clast to matrix ratio) calcite hbx at ~918m, with no visible sulfides.",895.53,900.58,PHY,3,Ser,895.53,900.58,0,0,0
,,,,,,,,,,,900.58,929,PRO,3,Chl>ep,900.58,929,0,0,0
MPD-23-003,929,986,DIO,DIO,INT,FMG,POR,XEN,,"green to grey, fine to med grained porphyritic only, not seriate phyric, generally prop altered diorite, weakly phyllic alt near qtz-ah-cal veins. From 929m to 950m, alt assemblage chl>carb>epi, chlorite pervasive alteration with carb and epi on light minerals. While for phyllic alt sil>ser+-kspar,py assemblage migrating near qtz>ah+-cal(cal as late veins) - no phyllic alt on cal veins only. Phenos observed to be plag+hbl+-bt with some plag being altered to cal>epi. Some hbl are altered to chl/mt. mineralization observed to be related to micro qtz-ah veins (~40dtca) - width size ~1 to 3mm, white to light gry, massive to sugary, qtz some weakly altered to gypsum/anhydrite and cut by calcite with fg ccp on selvages. fg ccp as stringers noted as well. Also noted some qtz+ser+(10%)py at 932.5m. Average occurrence of mineralized veins are 2-3 times per meter. py clusters and disseminations near veins and fractures.   From 950m to 964m, alteration is chl>clay+-ser with weak carb on some light phenos and fractures. Increased width in wht qtz-cal veins (~20-40dtca) in these sections compared to the upper interval with size varying from ~2mm to 3cm, and not much phyllic alteration migrating from majority of the veins. Although observed from 962 to 964m, a 0.5cm composed of wht to light gry massive qtz vein cut by calcite veins with ccp>py on fractures and selvages with ser alteration migrating from the vein (70dtca almost parallel to the core axis)  964m to 986m, xenolithic clasts noted on some parts (971m and 988m, 984.3m), xenoliths (drk, fg)  are not mineralized, still observed the qtz cal veins with ccp on selvages, some fg ccp+py stringers. This section alt assemblage chl>epi+-ser has increased epi alteration on phenos, still low carb alt. Massive py>ccp clusters/disseminations from 972.6m. Ccp+-bn noted on what look like an edge of a wht-purple qtz-ah vein from 976.8m. Also observed from 979.5m that ccp occurs on rims of hbl.",929,950,PRO,4,Chl>ep,929,950,2,0.05,0
,,,,,,,,,,,950,964,PRO,4,Chl,950,964,0.5,0.05,0
,,,,,,,,,,,964,986,PRO,4,Chl+ep,964,986,5,0.1,0
MPD-23-003,986,1011.62,DIO,DIO,INT,FMG,SER,POR,XEN,"light green to light grey, seriate phyric, hbl+plag diorite porhyry. The interval transitioned from porphyritic to seriate phyric diorite. Not sure if it is a different lith than previous interval, but have seriate phyric texture (~1-5mm) hbl+augite+-second bt set in a finer grained matrix+plag. Alteration assemblage of chl>ser>mt+-epi  with kspar+act+-bt migrating from veins/fractures retrograded to weakly serecite alt bleeding out from the kspar halo.   This interval has higher density of (~0.03cm to 5cm in width)ah>qtz+cal with kspar+act+-bt halo and clusters of ccp on selvages - 3 to 5 vein/veinlets per meter not including the microfractures, this includes observed qtz>ah>cal banded veins and edge of vein with cluster of ccp>bn on selvages from 995.m to 996m. Also noted fg ccp stringers on some parts.  From 994m to 1011.62m, the alteration assemblage changed to chl>ser>sil, serecite on fractures, including stronger potassic to phyllic alteration from 994.9 to 995m possibly due to cross cutting/stockworking of veins and fractures.  Xenoliths noted from 994m and 1006.4m. The one from 1006.4m is cut and altered to ep+hem from the fractures, while the one from 994 is not cut, not altered as well.",986,994,PRO,3,Chl+ep+act,986,1011.62,0,0.1,0.05
,,,,,,,,,,,994,1011.62,PHY,3,Ser+sil,,,,,
MPD-23-003,1011.62,1019.52,GND,GND,DYK,MCG,POR,,,"post-mineral, reddish brown, hem>clay>secnd mt alt granodiorite. The same dyke encountered before. Late cal veins observed, no sulfides noted.",1011.62,1019.52,ARG,3,Clay,1011.62,1019.52,0,0,0
MPD-23-003,1019.52,1025.9,DIO,DIO,INT,FMG,SER,POR,,"pale green fine to med grained, seriate phyric, porphyritic, phyllic hbl diorite. Alt assemblage chl>ser+-sil,py. Chlorite is possibly the primary alteration, with phyllic (ser+-sil) is migrating from veins and fractures and pervasively altering the rock. Pink white, Ah+cal+-qtz Stockworks (almost brecciating, monimictic,matrix supported) with kspar+clay on the edges and ccp clusters on selvages and fractures  noted from 1020.5m and 1021.65m. Qtz-ah-cal veinlets with ccp+py without the halo also observed within the interval. Also py>ccp finely disseminated near fractures.",1019.52,1025.9,PHY,3,Ser+sil+py,1019.52,1025.9,0.1,0.1,0
MPD-23-003,1025.9,1034.4,DIO,DIO,SVI,FG,,,,"grey to green, fine grained, prop altered diorite,not sure if this is a different lith than previous interval, but this is finer than the other. Alt assemblage of chl>epi>carb. Calcite veins noted within the interval. Fg py stringer/veinlets noted within the interval.",1025.9,1034.4,PRO,4,Chl+ep,1025.9,1034.4,0.5,0,0
MPD-23-003,1034.4,1069.96,GND,GND,DYK,MCG,SER,POR,,"post-mineral, reddish brown, hem>clay>secnd mt>weakly sil alt granodiorite. The same dyke encountered before. Late cal veins observed, no sulfides noted. Dark fg probably a xenolith noted at ~1057.7m",1034.4,1069.96,ARG,3,Clay,1034.4,1069.96,0,0,0
MPD-23-003,1069.96,1081,DIO,DIO,INT,FMG,POR,XEN,,"grey to green, porphyritic texture, hbl diorite.  The phenos are around ~1-3mm, set in a finer matrix. Alt assemblage of chl>ser+py. Some xenoliths noted within the interval (1072.7m) gypsum+cal veins noted within the interval. Minor hbx, monomictic, clast supported (clast wallrock, matrix calcite) observed at ~1070.59m. Fg ccp noted on selvages of some fractures/veins.",1069.96,1081,PRO,3,Chl,1069.96,1081,0,0,0
MPD-23-003,1081,1085.5,GND,GND,DYK,MCG,POR,SER,,"light grey, med grained to coarse grained, weakly chl>sil+py+-hem granodiorite. This looks the similar with the other granodio dykes encountered within the hole, the difference is that hematite alteration is weakly present and only near the end of this interval (possibly a contact if this is a different lith), but pyrite can be noted within the interval (possible that the pyrite was altered to hematite on the other dykes) wht late calcite veins noted within the interval.",1081,1085.5,PRO,3,Chl,1081,1085.5,5,0,0
MPD-23-003,1085.5,1087.24,DIO,DIO,INT,FMG,POR,,,"green to greyish, fine to med grained, hbl dio. Alt assemblage of chl+ser+py. Late calcite with hem on selvages and fg ccp noted at ~1086.8m. Wht cal veinlets noted within the interval. Clusters and blebs of pyrite+-ccp noted.",1085.5,1087.24,PRO,3,Chl,1085.5,1087.24,5,0.05,0
